SYRY,edu_low21_59,DB,OLD60,CJR,JSZA,TEMP_POPU,XD,XJRY,JSGL,JTGL,MDJF,TFSJ,SPYP,SCGL,XFAQ,SHFW,ZGFW,GGSS,SHZA
0.0000000000,0.3660114530,0.1772349530,0.6439432170,0.2894736840,0.0000000000,0.0000000000,0.0000000000,0.5960798550,0.0126404490,0.0083333330,0.0003690130,0.0187500000,0.0055062710,0.0048123200,0.0013652340,0.0159019550,0.0200000000,0.0300554420,0.0016026120
0.0152563240,0.4247274480,0.0170763900,0.2818867380,0.2882014870,0.3786342120,0.0000000000,0.0000000000,0.0574316290,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0007699710,0.0128913860,0.1360613120,0.0000000000,0.0035016050,0.0001187120
0.0162098440,0.6321586090,0.0483831050,0.3199526970,0.1580459770,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0004744460,0.0000000000,0.0036708470,0.0015399420,0.0028647520,0.0598602250,0.0000000000,0.0000000000,0.0000000000
0.0094017090,0.5543751180,0.0000000000,0.2801201820,0.2520833330,0.1111111110,0.0000000000,0.0000000000,0.0235948280,0.0280898880,0.0020833330,0.0001581490,0.0000000000,0.0006118080,0.0000000000,0.0010742820,0.0760998010,0.0000000000,0.0052524070,0.0011277640
0.0078184690,0.7795830720,0.0000000000,0.3662045690,0.2477477480,0.0554400550,0.0000000000,0.1589825120,0.0000000000,0.0014044940,0.0010416670,0.0003690130,0.0031250000,0.0000000000,0.0000000000,0.0000895000,0.0451737060,0.0000000000,0.0005836010,0.0011277640
0.0204384990,0.5751954750,0.0915071770,0.3084798840,0.2989130430,0.1449275360,0.0232199030,0.0000000000,0.0000000000,0.0168539330,0.0093750000,0.0010543240,0.0000000000,0.0012236160,0.0000000000,0.0002685710,0.0182990650,0.0000000000,0.0105048150,0.0005342040
0.0248393910,0.6091771100,0.0667265020,0.3711523900,0.0968736240,0.1409070890,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0031250000,0.0001581490,0.0531250000,0.0000000000,0.0011549570,0.0005371410,0.0117492150,0.0000000000,0.0023344030,0.0001187120
0.0102100010,0.6992102230,0.1523739420,0.3451347930,0.1907993970,0.1206636500,0.0000000000,0.0000000000,0.0000000000,0.0014044940,0.0000000000,0.0002635810,0.0218750000,0.0006118080,0.0000000000,0.0004923790,0.0613119960,0.0000000000,0.0005836010,0.0033832910
0.0087052860,0.7595043290,0.0043305870,0.3245677900,0.2051183130,0.3086419750,0.0008241630,0.0442538130,0.0436941250,0.0000000000,0.0000000000,0.0007907430,0.0250000000,0.0000000000,0.0000000000,0.0000000000,0.0077652860,0.0000000000,0.0005836010,0.0000000000
0.0125124410,0.0156891670,0.0072619370,0.3175905760,0.0576093650,0.0271102900,0.1435341980,0.0070675220,0.0183176110,0.0000000000,0.0010416670,0.0003162970,0.3093750000,0.0000000000,0.0000000000,0.0942682570,0.1320436210,0.0000000000,0.0005836010,0.0103279420
0.0069481460,0.7430818980,0.0155541070,0.3543379530,0.2286374130,0.1970746730,0.0000000000,0.0353212880,0.0000000000,0.0070224720,0.0000000000,0.0004217300,0.0000000000,0.0018354240,0.0000000000,0.0004476180,0.0340322090,0.0000000000,0.0064196090,0.0001187120
0.0000000000,0.0239289230,0.0137223480,0.3042381890,0.1232681340,0.1629991850,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0056933500,0.0000000000,0.0012236160,0.0007699710,0.0037599870,0.1895404980,0.0000000000,0.0000000000,0.0108027900
0.0000000000,0.0090389380,0.0203595170,0.2885846240,0.1662636030,0.2902055620,0.0000000000,0.0231168650,0.0000000000,0.0000000000,0.0000000000,0.0053770530,0.0062500000,0.0000000000,0.0000000000,0.0182851770,0.0146527570,0.0000000000,0.0000000000,0.0000000000
0.0131361210,0.8058073300,0.0056012380,0.3166545770,0.2104125080,0.0798403190,0.0000000000,0.0000000000,0.0000000000,0.0028089890,0.0114583330,0.0000000000,0.0031250000,0.0036708470,0.0000000000,0.0000448000,0.0390627640,0.0000000000,0.0163408230,0.0010684080
0.0120663650,0.5190631380,0.0000000000,0.3612036980,0.0000000000,0.0000000000,0.0097101410,0.0000000000,0.0000000000,0.0028089890,0.0000000000,0.0032156880,0.0125000000,0.0000000000,0.0000000000,0.0070275960,0.0025659210,0.0000000000,0.0029180040,0.0009496960
0.0055631420,0.1922785850,0.0000000000,0.3639318140,0.2440828400,0.1972386590,0.0015800530,0.0282805430,0.0418843090,0.0000000000,0.0000000000,0.0004744460,0.0500000000,0.0152951970,0.0011549570,0.0000448000,0.0065498500,0.0000000000,0.0035016050,0.0004748480
0.0000000000,0.0039251530,0.0448596460,0.3127995340,0.2523682650,0.2605091770,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.3145833330,0.0002108650,0.0000000000,0.0024472320,0.0000000000,0.0037599870,0.0303183770,0.0000000000,0.0536912750,0.0135331650
0.0102230380,0.0466098430,0.0499315080,0.2520412880,0.0804192920,0.0626055440,0.0021116830,0.0307091820,0.0279884280,0.0056179780,0.0104166670,0.0005798780,0.0062500000,0.0097889260,0.0215591920,0.0046552230,0.1769134680,0.0000000000,0.0204260290,0.0033832910
0.0369903320,0.5783391870,0.0122676290,0.3850390440,0.1903460840,0.1165755920,0.0000000000,0.0000000000,0.0000000000,0.0449438200,0.0333333330,0.0013706210,0.0000000000,0.0263077390,0.0000000000,0.0000000000,0.0013504840,0.0000000000,0.0035016050,0.0008309840
0.0772955010,0.5506591600,0.0307615250,0.3901956620,0.1230930850,0.0876952590,0.0840090890,0.0314348810,0.0000000000,0.0056179780,0.0437500000,0.0000791000,0.0093750000,0.0152951970,0.0115495670,0.0207694550,0.0418987810,0.0114285710,0.0029180040,0.0040362070
0.0013790550,0.0015597640,0.0020581010,0.3309261650,0.1949639410,0.3226989370,0.0000000000,0.0000000000,0.0000000000,0.0337078650,0.0270833330,0.0002108650,0.0062500000,0.0012236160,0.0000000000,0.0012757100,0.0080353830,0.0000000000,0.0169244240,0.0007122720
0.0445930880,0.5395461290,0.0665506740,0.3065251770,0.1501035200,0.2710333150,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0020833330,0.0001054320,0.0000000000,0.0000000000,0.0000000000,0.0189342230,0.0954792530,0.0000000000,0.0000000000,0.0002967800
0.0157154920,0.1022164120,0.0159685330,0.2119452490,0.0855783760,0.0331940370,0.2785438720,0.0679919870,0.0251745290,0.0014044940,0.0239583330,0.0007380270,0.0312500000,0.0893239520,0.0211742060,0.1624180300,0.0282251260,0.0000000000,0.0215932300,0.0504525890
0.0458619970,0.4836952040,0.0087375820,0.2990700340,0.1427088740,0.0415153090,0.4680973480,0.0148814070,0.0000000000,0.0028089890,0.0187500000,0.0003162970,0.0812500000,0.0116243500,0.0119345520,0.0344665520,0.1113812080,0.0000000000,0.0350160490,0.0351684230
0.0269261370,0.6260760210,0.0000000000,0.4326370020,0.1968973750,0.0954653940,0.0012746010,0.0456268430,0.0000000000,0.0014044940,0.0052083330,0.0000527000,0.0031250000,0.0085653100,0.0011549570,0.0040733200,0.0047942200,0.0057142860,0.0052524070,0.0013058320
0.0247413410,0.3845825190,0.0615399140,0.2872163610,0.2412280700,0.0584795320,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0020833330,0.0000000000,0.0062500000,0.0000000000,0.0000000000,0.0004699980,0.0767075190,0.0000000000,0.0081704110,0.0018993920
0.3274346940,0.1431790480,0.0215586690,0.4418505510,0.0469483570,0.0000000000,0.1381301810,0.0244784210,0.0000000000,0.0000000000,0.0010416670,0.0018977830,0.0000000000,0.0000000000,0.0023099130,0.0125780530,0.0004389070,0.0000000000,0.0000000000,0.0002374240
0.0054700850,0.7664518640,0.1959251850,0.3323947890,0.0866666670,0.0775757580,0.0038840570,0.0000000000,0.1235510970,0.0000000000,0.0010416670,0.0001054320,0.0000000000,0.0000000000,0.0000000000,0.0024618970,0.0773827610,0.0000000000,0.0011672020,0.0002967800
0.0000000000,0.0828494110,0.0083208900,0.3009927280,0.1223128240,0.1383741040,0.0007917830,0.0000000000,0.1259323640,0.0000000000,0.0041666670,0.0015814860,0.0187500000,0.0067298870,0.0000000000,0.0006266650,0.0104662550,0.0057142860,0.0011672020,0.0001187120
0.0082111000,0.0494228640,0.0000000000,0.2764125480,0.2201601160,0.1746724890,0.0349819510,0.0000000000,0.0000000000,0.0112359550,0.0000000000,0.0003162970,0.0000000000,0.0000000000,0.0000000000,0.0002685710,0.0200546950,0.0000000000,0.0922089290,0.0000000000
0.0683760680,0.6247785320,0.0185535210,0.2741874150,0.2878787880,0.1322314050,0.0388405660,0.0315994170,0.1871986320,0.0000000000,0.0000000000,0.0002108650,0.0031250000,0.0134597740,0.0003849860,0.0001790470,0.0372733720,0.0000000000,0.0017508020,0.0004154920
