code,SYRY,edu_low21_59,DB,OLD60,CJR,JSZA,TEMP_POPU,XD,XJRY,JSGL,JTGL,MDJF,TFSJ,SPYP,SCGL,XFAQ,ZGFW,SHFW,GGSS,SHZA,risk
2666,0.014084507,0.431924883,0.004694836,0.145539906,0.023474178,0.004694836,0.0000000000,0,0.01877934,8,336,8,8,20,0,0,0,1150,44,4,2
2667,0.007153614,0.021084337,0.008471386,0.241716867,0.026167169,0.006400602,0.0164000000,0.003576807,0.00169428,2,28,248,14,0,8,130,0,564,110,22,1
2668,0.002645503,0.08994709,0.015873016,0.30026455,0.034391534,0.009259259,0.0000000000,0,0.00529101,2,0,4,42,0,0,2,2,713,4,6,1
2669,0.000307031,0.001535155,0.002149217,0.195885784,0.008289837,0.002763279,0.1500000000,0.001842186,0.00153516,8,10,8,2,86,2,1242,0,2002,85,1095,1
2670,0.003436426,0.489690722,0.005154639,0.2104811,0.028350515,0.003436426,0.0000000000,0,0.00000000,0,0,4,0,0,0,926,0,916,4,0,1
2671,0.005334914,0.45820984,0.0317131,0.173681091,0.0317131,0.005927682,0.0000000000,0.001481921,0.00029638,2,2,46,8,4,2,2,0,1071,8,36,1
2672,0.002467105,0.577302632,0.017269737,0.189144737,0.035361842,0.008223684,0.0098700000,0.002467105,0.00164474,2,0,12,106,0,0,136,0,1975,10,256,2
2673,0.003376097,0.199189737,0.006752194,0.247130317,0.016205267,0.006076975,0.0000000000,0.000675219,0.00270088,0,0,6,4,2,0,184,0,182,0,0,1
2674,0.026336174,0.344694036,0.027498064,0.169248644,0.016653757,0.005034857,0.0015500000,0.005422153,0.00154919,0,77,4,1,0,0,2,0,1582,14,2,1
2675,0.003250271,0.488624052,0.003250271,0.156013001,0.019501625,0.002166847,0.0000000000,0.001083424,0.00108342,4,10,92,14,24,8,4,0,174,24,14,1
2676,0.010348186,0.015704894,0.000121743,0.033114195,0.00146092,0.00036523,0.0269000000,0.000486973,0.00073046,6,6,70,0,6,0,1305,26,3588,50,1234,1
2677,0.003291278,0.426220516,0.03455842,0.222161273,0.023587493,0.002194185,0.0021900000,0,0.00219419,4,0,0,4,0,0,4,0,2896,4,2,1
2678,0.002824859,0.552259887,0.011299435,0.15960452,0.014830508,0.005649718,0.0000000000,0.004943503,0.00423729,0,2,0,0,0,2,4,0,22,6,4,1
2679,0.000957854,0.004789272,0.033524904,0.107279693,0.017241379,0,0.0316000000,0.001915709,0.00191571,4,2,2,2,0,2,90,0,1258,22,0,1
2680,0.011160714,0.424107143,0.011160714,0.181919643,0.011160714,0.001116071,0.0000000000,0,0.00000000,0,4,0,8,0,0,20,0,4239,48,32,1
2681,0.005614473,0.25452277,0.006238303,0.203368684,0.014971928,0.004990643,0.2400000000,0,0.00062383,0,0,0,4,0,0,292,0,82,2,4,1
2682,0.011257036,0.470919325,0,0.228893058,0.046904315,0.011257036,0.0037500000,0.001876173,0.00750469,4,8,2,0,66,0,18,0,852,29,25,2
2683,0.005003574,0.50964975,0.014295926,0.232308792,0.022873481,0.030021444,0.0000000000,0.001429593,0.00285919,16,0,60,20,4,0,40,0,148,4,0,2
2684,0.003611293,0.14461589,0,0.117859488,0.006237689,0.000328299,0.0146000000,0.000984898,0.00098490,0,8,49,16,1003,439,3170,0,13888,48,50,2
2685,0.005949851,0.562260943,0.002974926,0.219294518,0.02039949,0.005524862,0.0004250000,0.002124947,0.00509987,44,6,469,6,18,18,4,0,692,50,38,2
2686,0,0.001691094,0.003945885,0.234498309,0.016910936,0.007328072,0.0000000000,0.001127396,0.00056370,0,0,12,0,0,0,0,0,0,0,0,1
2687,0.000461042,0.028584601,0.016136468,0.17934532,0.01890272,0.007837713,0.0000000000,0.00230521,0.00230521,0,0,0,0,0,0,600,0,343,0,275,1
2688,0.00018457,0.000830565,0.00036914,0.149778516,0.002307124,0.00036914,0.2050000000,0.000276855,0.00055371,0,0,32,0,64,18,2772,0,7688,66,32,1
2689,0,0.035714286,0.000915751,0.293040293,0.008241758,0.000915751,0.0192000000,0.000915751,0.00000000,6,100,4,54,10,150,748,0,3471,134,300,1
2690,0,0.358778626,0.022900763,0.221374046,0.015267176,0.007633588,0.0191000000,0,0.00000000,8,0,20,0,4,0,4,0,2254,20,4,1
2691,0.004723666,0.533301842,0.028341993,0.227208314,0.016532829,0.008974965,0.0009450000,0.0014171,0.00188947,2,4,28,6,0,0,6,0,716,2,16,1
2692,0.017094017,0.384615385,0.034188034,0.115384615,0.042735043,0.021367521,0.1450000000,0.034188034,0.00854701,0,6,0,0,0,0,136,0,424,16,2,4
2693,0.002849003,0.028490028,0,0.250712251,0.002849003,0.002849003,0.0000000000,0,0.00000000,36,24,14,2,0,0,288,0,964,90,76,1
2694,0.00310559,0.263975155,0.00310559,0.180124224,0.02173913,0.00310559,0.0000000000,0,0.00000000,0,0,76,0,0,0,4,0,2720,16,0,1
2695,0.002904163,0.102613746,0.008712488,0.262342691,0.025169409,0.009680542,0.0000000000,0,0.00000000,0,4,190,8,8,0,0,0,174,0,8,1
2696,0.016427105,0.350102669,0.011293634,0.19301848,0.017453799,0.013347023,0.0000000000,0.003080082,0.00000000,0,0,8,0,0,0,0,0,106,48,4,1
2697,0.011504425,0.436283186,0.036283186,0.259292035,0.023893805,0.005309735,0.0017700000,0.000884956,0.00353982,2,0,4,4,0,0,2,0,2491,77,20,1
2698,0.002656748,0.129649309,0.001328374,0.037991498,0.002922423,0.00053135,0.6010000000,0.005313496,0.00079702,0,64,0,12,48,22,1156,0,148,119,504,2
